Web Search interest: halo5
United States date_range:(today 30-d)

Interest over time
Day,halo5
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Chicago IL,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Houston TX,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Denver CO,0
Phoenix AZ,0
Butte-Bozeman Mount,0
Great Falls Mount,0
Billings, Mount,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula Mount,0
Rapid City SD,0
El Paso TX,0
Helena Mount,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Albuquerque-Santa Fe NM,0
Glendive Mount,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Los Angeles CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Seattle-Tacoma WA,0
Portland OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Sacramento-Stockton-Modesto CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0











